index,cid,hit,hit@10,count,total
0,16,false,0.0,0,1
1,18,true,0.5,1,2
2,20,false,0.3333333333333333,1,3
3,30,true,0.5,2,4
4,32,false,0.4,2,5
5,42,false,0.3333333333333333,2,6
6,59,false,0.2857142857142857,2,7
7,67,true,0.375,3,8
8,96,false,0.3333333333333333,3,9
9,101,false,0.3,3,10
10,102,true,0.36363636363636365,4,11
11,114,false,0.3333333333333333,4,12
12,122,true,0.38461538461538464,5,13
13,126,true,0.42857142857142855,6,14
14,129,false,0.4,6,15
15,139,true,0.4375,7,16
16,141,true,0.47058823529411764,8,17
17,148,false,0.4444444444444444,8,18
18,155,true,0.47368421052631576,9,19
19,156,false,0.45,9,20
20,158,false,0.42857142857142855,9,21
21,160,true,0.45454545454545453,10,22
22,161,false,0.43478260869565216,10,23
23,165,false,0.4166666666666667,10,24
24,170,false,0.4,10,25
25,177,false,0.38461538461538464,10,26
26,178,true,0.4074074074074074,11,27
27,179,true,0.42857142857142855,12,28
28,181,false,0.41379310344827586,12,29
29,184,true,0.43333333333333335,13,30
