,cid,hit,hit@10,count,total
0,16,True,1.0,1,1
1,18,True,1.0,2,2
2,20,True,1.0,3,3
3,30,True,1.0,4,4
4,32,False,0.8,4,5
5,42,False,0.6666666666666666,4,6
6,59,True,0.7142857142857143,5,7
7,67,True,0.75,6,8
8,96,False,0.6666666666666666,6,9
9,101,True,0.7,7,10
10,102,False,0.6363636363636364,7,11
